@relation '272644L1_2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F3-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsp?acona_sp?acona_cz:dobry,windykacja_windykacja_sp_odmowa:z?y-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsp?acona_sp?acona_cz:dobry,odmowa_windykacja_windykacja_sp:z?y-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_splacona_cz:dobry,odmowa_windykacja_windykacja_sp:z?y-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.6]\'','\'(30.6-43.2]\'','\'(43.2-55.8]\'','\'(55.8-68.4]\'','\'(68.4-inf)\''}
@attribute płeć {kobieta,mężczyzna}
@attribute 'rodzaj źródła dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres dochód (months)' numeric
@attribute 'okres będzie dochód (months)' numeric
@attribute '﻿status pozyczki' {dobry,z?y}

@data
500,'\'(43.2-55.8]\'',mężczyzna,11,1700,0,310,48,z?y
300,'\'(68.4-inf)\'',kobieta,13,1300,2,194,48,dobry
500,'\'(30.6-43.2]\'',mężczyzna,99,1807,0,0,11,z?y
500,'\'(55.8-68.4]\'',kobieta,13,962,1,66,48,dobry
300,'\'(43.2-55.8]\'',kobieta,11,2800,0,10,48,dobry
1000,'\'(-inf-30.6]\'',mężczyzna,11,1629,0,50,48,z?y
465.37,'\'(30.6-43.2]\'',kobieta,98,4000,5,20,48,dobry
500,'\'(30.6-43.2]\'',mężczyzna,11,1850,0,56,48,dobry
600,'\'(43.2-55.8]\'',kobieta,16,2300,6,64,48,dobry
600,'\'(-inf-30.6]\'',kobieta,11,2100,0,24,48,dobry
1000,'\'(30.6-43.2]\'',kobieta,98,6000,1,18,48,dobry
300,'\'(68.4-inf)\'',mężczyzna,13,1420,1,54,48,dobry
200,'\'(43.2-55.8]\'',kobieta,11,1344.9,4,47,48,dobry
200.56,'\'(55.8-68.4]\'',kobieta,13,1107,0,16,48,dobry
300,'\'(68.4-inf)\'',mężczyzna,13,1772.53,2,281,48,dobry
400,'\'(30.6-43.2]\'',kobieta,11,980.11,2,46,48,dobry
622.85,'\'(55.8-68.4]\'',mężczyzna,13,3040,1,202,48,dobry
300,'\'(68.4-inf)\'',kobieta,16,1235,0,34,48,dobry
300,'\'(55.8-68.4]\'',mężczyzna,15,1100.79,0,91,48,dobry
200,'\'(55.8-68.4]\'',mężczyzna,13,1162,5,222,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,1635,5,121,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,917,3,77,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1019,0,134,48,dobry
400,'\'(55.8-68.4]\'',kobieta,16,1411,2,67,48,dobry
284.19,'\'(30.6-43.2]\'',kobieta,98,1200,5,47,48,dobry
996,'\'(43.2-55.8]\'',mężczyzna,11,2500,1,205,48,dobry
300,'\'(-inf-30.6]\'',mężczyzna,12,1800,0,5,1,dobry
300,'\'(43.2-55.8]\'',kobieta,16,1500,0,3,48,dobry
800,'\'(55.8-68.4]\'',kobieta,13,2120,0,120,48,dobry
300,'\'(30.6-43.2]\'',kobieta,11,1738.57,0,58,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,12,1030,0,10,48,z?y
300,'\'(43.2-55.8]\'',kobieta,11,2800,5,61,48,dobry
1000,'\'(55.8-68.4]\'',mężczyzna,13,2474,0,16,48,dobry
530,'\'(30.6-43.2]\'',mężczyzna,11,2050,0,119,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1000,2,65,48,dobry
200,'\'(30.6-43.2]\'',mężczyzna,11,2284.23,0,301,48,dobry
400,'\'(55.8-68.4]\'',mężczyzna,13,2031,0,159,48,z?y
200,'\'(68.4-inf)\'',mężczyzna,13,1700,0,15,48,dobry
400,'\'(43.2-55.8]\'',mężczyzna,98,4293,0,179,48,dobry
200,'\'(43.2-55.8]\'',kobieta,11,3641,0,144,48,dobry
399.72,'\'(55.8-68.4]\'',kobieta,13,714,6,223,48,dobry
250,'\'(68.4-inf)\'',kobieta,13,1000,0,212,48,dobry
460,'\'(55.8-68.4]\'',kobieta,13,1013.74,5,114,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,840,3,114,48,dobry
800,'\'(55.8-68.4]\'',kobieta,13,1530,0,26,48,dobry
495.15,'\'(30.6-43.2]\'',mężczyzna,11,2470,2,67,48,dobry
500,'\'(43.2-55.8]\'',kobieta,11,2500,1,234,48,dobry
200,'\'(30.6-43.2]\'',kobieta,12,1048.27,0,4,15,dobry
200,'\'(55.8-68.4]\'',mężczyzna,16,1313.41,5,29,48,dobry
350,'\'(55.8-68.4]\'',mężczyzna,16,837,4,232,48,dobry
400,'\'(55.8-68.4]\'',kobieta,11,1500,4,86,48,dobry
1000,'\'(30.6-43.2]\'',kobieta,11,2200,1,38,48,dobry
800,'\'(30.6-43.2]\'',mężczyzna,12,1900,0,8,3,z?y
400,'\'(43.2-55.8]\'',kobieta,12,1250,0,49,0,z?y
300,'\'(43.2-55.8]\'',mężczyzna,11,3300,2,238,48,dobry
300,'\'(68.4-inf)\'',mężczyzna,13,1129.46,0,187,48,z?y
315.49,'\'(68.4-inf)\'',mężczyzna,13,960,5,141,48,dobry
423.23,'\'(30.6-43.2]\'',mężczyzna,11,2700,5,16,48,dobry
365.96,'\'(43.2-55.8]\'',mężczyzna,12,1574.45,4,32,3,dobry
350,'\'(55.8-68.4]\'',kobieta,17,547.89,2,57,1,z?y
300,'\'(55.8-68.4]\'',kobieta,13,1027,1,193,48,dobry
799.85,'\'(30.6-43.2]\'',kobieta,11,2050,1,30,48,z?y
400,'\'(55.8-68.4]\'',kobieta,13,1817.24,4,19,48,dobry
407.31,'\'(55.8-68.4]\'',kobieta,16,980,5,132,48,dobry
593.94,'\'(43.2-55.8]\'',mężczyzna,11,3200,5,190,48,dobry
300,'\'(30.6-43.2]\'',kobieta,11,2200,0,12,48,dobry
550,'\'(43.2-55.8]\'',kobieta,12,1675,5,10,1,dobry
300,'\'(55.8-68.4]\'',kobieta,16,1389,0,92,48,dobry
900,'\'(55.8-68.4]\'',kobieta,17,684,5,191,18,dobry
200,'\'(43.2-55.8]\'',mężczyzna,11,1460.17,2,62,48,dobry
670,'\'(55.8-68.4]\'',kobieta,13,930,2,95,48,dobry
235.97,'\'(55.8-68.4]\'',mężczyzna,12,1100,5,23,13,dobry
450,'\'(68.4-inf)\'',kobieta,13,729.03,6,258,48,dobry
500,'\'(-inf-30.6]\'',mężczyzna,12,1883,0,30,7,z?y
700,'\'(55.8-68.4]\'',kobieta,13,930,6,132,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,975,5,28,48,dobry
399.72,'\'(43.2-55.8]\'',mężczyzna,12,600,6,10,17,dobry
500,'\'(43.2-55.8]\'',mężczyzna,11,1320,5,343,48,dobry
389.72,'\'(55.8-68.4]\'',kobieta,13,1170,4,79,48,dobry
200,'\'(30.6-43.2]\'',kobieta,12,1032.34,5,6,5,dobry
200,'\'(68.4-inf)\'',kobieta,16,959.6,5,116,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,720.19,3,94,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,1212,5,55,48,dobry
200,'\'(43.2-55.8]\'',kobieta,16,1740,2,115,48,dobry
693.7,'\'(30.6-43.2]\'',kobieta,11,1900,1,209,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1474.55,4,66,48,dobry
400,'\'(43.2-55.8]\'',kobieta,13,1213,0,51,48,dobry
339.72,'\'(43.2-55.8]\'',kobieta,16,1045.6,6,13,48,dobry
300,'\'(30.6-43.2]\'',mężczyzna,11,1800,5,166,48,dobry
300,'\'(30.6-43.2]\'',kobieta,12,1027,5,10,48,dobry
400,'\'(55.8-68.4]\'',mężczyzna,11,2000,0,71,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,997,5,80,48,dobry
200,'\'(43.2-55.8]\'',kobieta,12,1350,5,23,1,dobry
265.58,'\'(55.8-68.4]\'',kobieta,13,1189,5,71,48,dobry
563.44,'\'(55.8-68.4]\'',mężczyzna,13,2000,0,46,48,dobry
1000,'\'(43.2-55.8]\'',kobieta,11,5800,5,55,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,1362,5,57,48,dobry
800,'\'(30.6-43.2]\'',mężczyzna,12,1500,2,34,1,dobry
500,'\'(43.2-55.8]\'',kobieta,11,2105,0,24,48,z?y
300,'\'(55.8-68.4]\'',kobieta,16,1132,2,98,48,dobry
300,'\'(68.4-inf)\'',mężczyzna,13,1295.37,1,308,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,936,3,32,48,dobry
375.81,'\'(-inf-30.6]\'',mężczyzna,11,1888.27,0,78,48,dobry
600,'\'(30.6-43.2]\'',kobieta,11,1290,5,20,48,dobry
426.61,'\'(43.2-55.8]\'',kobieta,11,2470,6,355,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,616,5,247,48,dobry
600,'\'(43.2-55.8]\'',kobieta,11,2800,5,320,48,dobry
600,'\'(-inf-30.6]\'',mężczyzna,11,1900,0,59,48,z?y
500,'\'(68.4-inf)\'',kobieta,13,640,2,140,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1137.19,5,97,48,dobry
200,'\'(55.8-68.4]\'',kobieta,11,1172.2,5,38,48,dobry
500,'\'(68.4-inf)\'',kobieta,13,951,5,163,48,dobry
500,'\'(30.6-43.2]\'',mężczyzna,98,3014,0,103,48,dobry
2500,'\'(68.4-inf)\'',mężczyzna,13,2612,0,83,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,13,3900,6,31,48,dobry
450,'\'(68.4-inf)\'',kobieta,13,1800,0,118,48,dobry
250,'\'(43.2-55.8]\'',kobieta,17,864.6,1,3,4,dobry
300,'\'(30.6-43.2]\'',kobieta,12,1200,5,10,4,dobry
441.27,'\'(30.6-43.2]\'',kobieta,12,660,5,13,25,z?y
283.31,'\'(43.2-55.8]\'',kobieta,12,1050,4,35,1,dobry
400,'\'(43.2-55.8]\'',mężczyzna,11,1400,0,40,48,dobry
250,'\'(55.8-68.4]\'',mężczyzna,13,1559,0,72,48,dobry
300,'\'(-inf-30.6]\'',mężczyzna,12,952.89,1,24,2,dobry
357.31,'\'(30.6-43.2]\'',mężczyzna,11,1261.98,5,37,48,dobry
500,'\'(68.4-inf)\'',kobieta,13,1200,5,120,48,dobry
412.88,'\'(30.6-43.2]\'',kobieta,11,2927,4,202,48,dobry
242.28,'\'(55.8-68.4]\'',kobieta,13,1350,4,112,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,611,4,140,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,900,0,135,48,z?y
200,'\'(68.4-inf)\'',kobieta,13,730,4,562,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,1026,6,248,48,dobry
200,'\'(43.2-55.8]\'',kobieta,13,968,0,82,48,z?y
400,'\'(43.2-55.8]\'',mężczyzna,11,4000,6,11,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1130,5,104,48,dobry
400,'\'(55.8-68.4]\'',kobieta,16,1589,1,28,48,dobry
600,'\'(43.2-55.8]\'',kobieta,11,1300,0,69,48,dobry
200,'\'(30.6-43.2]\'',mężczyzna,12,1386,0,39,2,z?y
600,'\'(30.6-43.2]\'',kobieta,11,1443,0,35,48,dobry
1654.61,'\'(43.2-55.8]\'',mężczyzna,11,2353,0,100,48,dobry
400,'\'(55.8-68.4]\'',mężczyzna,11,1842.86,4,9,48,dobry
500,'\'(43.2-55.8]\'',kobieta,98,1357,0,2,48,dobry
200,'\'(-inf-30.6]\'',mężczyzna,12,1000,6,13,12,dobry
600,'\'(43.2-55.8]\'',mężczyzna,11,2000,0,52,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1090.14,5,76,48,dobry
500,'\'(30.6-43.2]\'',mężczyzna,12,5000,0,6,21,z?y
300,'\'(55.8-68.4]\'',kobieta,11,1680,5,386,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,11,1700,5,40,48,z?y
300,'\'(43.2-55.8]\'',mężczyzna,12,1000,3,44,18,dobry
305,'\'(55.8-68.4]\'',kobieta,13,1210,1,139,48,z?y
400,'\'(-inf-30.6]\'',mężczyzna,11,1590,0,54,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1240,2,71,48,dobry
800,'\'(55.8-68.4]\'',mężczyzna,12,2500,4,6,4,dobry
400,'\'(43.2-55.8]\'',kobieta,11,1030,0,164,48,z?y
500,'\'(68.4-inf)\'',mężczyzna,13,1700,5,15,48,dobry
300,'\'(30.6-43.2]\'',kobieta,11,1286.16,2,118,48,dobry
1500,'\'(55.8-68.4]\'',mężczyzna,98,3000,2,70,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,1000,5,69,48,dobry
378.91,'\'(68.4-inf)\'',kobieta,13,1291.18,6,80,48,dobry
400,'\'(43.2-55.8]\'',kobieta,12,1700,6,56,0,dobry
350,'\'(68.4-inf)\'',kobieta,11,1348.95,0,115,48,dobry
200,'\'(-inf-30.6]\'',mężczyzna,17,985,6,14,3,dobry
200,'\'(43.2-55.8]\'',kobieta,16,685,1,42,48,dobry
600,'\'(30.6-43.2]\'',kobieta,98,5000,1,85,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,1134.96,2,162,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1239.98,3,256,48,dobry
200,'\'(30.6-43.2]\'',kobieta,11,1400,0,26,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,13,864.34,0,157,48,dobry
350,'\'(55.8-68.4]\'',mężczyzna,13,1503,0,167,48,z?y
400,'\'(30.6-43.2]\'',kobieta,11,1021.1,0,70,48,z?y
300,'\'(55.8-68.4]\'',mężczyzna,11,3000,6,213,48,dobry
800,'\'(-inf-30.6]\'',mężczyzna,11,2349,0,22,48,z?y
300,'\'(-inf-30.6]\'',kobieta,12,1100,0,15,48,z?y
400,'\'(43.2-55.8]\'',mężczyzna,11,1800,2,260,48,dobry
600,'\'(43.2-55.8]\'',mężczyzna,12,3500,0,188,28,dobry
1000,'\'(-inf-30.6]\'',mężczyzna,11,2024.14,0,29,48,z?y
200,'\'(55.8-68.4]\'',kobieta,13,910,6,71,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,722.05,5,198,48,dobry
400,'\'(68.4-inf)\'',mężczyzna,13,1870,1,86,48,dobry
1000,'\'(43.2-55.8]\'',mężczyzna,11,2107.76,0,121,48,z?y
500,'\'(43.2-55.8]\'',kobieta,11,2245.01,0,147,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,2282,2,26,48,dobry
500,'\'(55.8-68.4]\'',mężczyzna,16,1770,6,90,48,dobry
367.31,'\'(55.8-68.4]\'',kobieta,13,1684,5,21,48,dobry
700,'\'(43.2-55.8]\'',kobieta,12,830.46,4,46,25,dobry
1000,'\'(30.6-43.2]\'',mężczyzna,11,2300,0,51,48,z?y
200,'\'(43.2-55.8]\'',mężczyzna,11,2094.17,2,242,48,dobry
600,'\'(55.8-68.4]\'',kobieta,13,1050,6,140,48,dobry
1000,'\'(55.8-68.4]\'',kobieta,13,1820,1,70,48,dobry
400,'\'(43.2-55.8]\'',kobieta,11,980,1,201,48,dobry
200,'\'(55.8-68.4]\'',mężczyzna,13,12220,4,72,48,dobry
345.97,'\'(43.2-55.8]\'',kobieta,11,1721.7,6,121,48,dobry
250,'\'(43.2-55.8]\'',kobieta,11,1700,5,307,48,dobry
200,'\'(55.8-68.4]\'',kobieta,16,1600,2,25,48,z?y
200,'\'(68.4-inf)\'',kobieta,13,785,2,65,48,dobry
400,'\'(-inf-30.6]\'',kobieta,12,1030,0,29,6,z?y
500,'\'(55.8-68.4]\'',kobieta,13,820,0,32,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1442.43,1,142,48,dobry
200,'\'(55.8-68.4]\'',mężczyzna,13,1611,0,142,48,dobry
290,'\'(55.8-68.4]\'',kobieta,13,1280,6,18,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,11,2100,1,51,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,850,5,68,48,dobry
400,'\'(55.8-68.4]\'',mężczyzna,13,3900,1,115,48,dobry
200,'\'(-inf-30.6]\'',kobieta,17,1200,6,166,14,dobry
490,'\'(-inf-30.6]\'',mężczyzna,11,2700,1,65,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,2125.11,0,142,48,z?y
700,'\'(55.8-68.4]\'',mężczyzna,13,3600,0,87,48,dobry
200,'\'(-inf-30.6]\'',kobieta,12,1100,2,16,1,dobry
200,'\'(-inf-30.6]\'',mężczyzna,12,1400,0,2,1,dobry
500,'\'(43.2-55.8]\'',mężczyzna,13,1500,0,87,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,1883.53,0,48,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,12,1952.35,1,5,6,dobry
200,'\'(-inf-30.6]\'',mężczyzna,99,1393.85,4,6,0,z?y
314.83,'\'(30.6-43.2]\'',kobieta,11,2709.34,6,182,48,dobry
600,'\'(30.6-43.2]\'',kobieta,11,1800,1,53,48,dobry
500,'\'(30.6-43.2]\'',mężczyzna,11,3898,1,182,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,965,5,246,48,dobry
438.67,'\'(43.2-55.8]\'',kobieta,11,1577.42,0,206,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1800,0,70,48,dobry
500,'\'(43.2-55.8]\'',kobieta,11,3000,0,94,48,dobry
200,'\'(43.2-55.8]\'',kobieta,12,990.34,0,57,15,dobry
200,'\'(43.2-55.8]\'',kobieta,11,932.34,6,396,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,11,1566.82,0,350,48,dobry
200,'\'(43.2-55.8]\'',kobieta,11,1493.98,5,362,48,dobry
200,'\'(-inf-30.6]\'',mężczyzna,12,1521,2,21,9,dobry
500,'\'(-inf-30.6]\'',mężczyzna,11,2200,0,115,48,z?y
300,'\'(-inf-30.6]\'',kobieta,17,596.17,0,2,21,z?y
200,'\'(55.8-68.4]\'',mężczyzna,13,1672.59,0,23,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,11,1300,0,453,48,dobry
500,'\'(30.6-43.2]\'',mężczyzna,98,1256,0,70,48,dobry
400,'\'(55.8-68.4]\'',kobieta,11,1730.13,4,194,48,dobry
500,'\'(55.8-68.4]\'',mężczyzna,13,1900,6,151,48,dobry
700,'\'(30.6-43.2]\'',kobieta,11,3178.76,1,122,48,dobry
700,'\'(30.6-43.2]\'',kobieta,11,3100,1,122,48,dobry
600,'\'(43.2-55.8]\'',kobieta,11,1700,5,90,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1014,0,184,48,dobry
780,'\'(55.8-68.4]\'',kobieta,13,860,0,81,48,dobry
389.72,'\'(43.2-55.8]\'',kobieta,98,3000,2,86,48,dobry
500,'\'(-inf-30.6]\'',kobieta,12,1447,6,23,1,dobry
200,'\'(-inf-30.6]\'',mężczyzna,17,728,6,101,29,dobry
515.96,'\'(55.8-68.4]\'',kobieta,13,1801.41,1,39,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,810,6,34,48,dobry
600,'\'(43.2-55.8]\'',mężczyzna,11,2500,0,375,48,dobry
800,'\'(55.8-68.4]\'',kobieta,13,5100,1,29,48,dobry
500,'\'(43.2-55.8]\'',kobieta,11,1800,6,54,48,dobry
400,'\'(30.6-43.2]\'',kobieta,11,800.51,0,21,48,z?y
400,'\'(68.4-inf)\'',kobieta,13,1900,2,122,48,dobry
428.68,'\'(43.2-55.8]\'',mężczyzna,16,588,2,423,48,dobry
349.66,'\'(55.8-68.4]\'',mężczyzna,13,1601.87,2,46,48,dobry
400,'\'(55.8-68.4]\'',mężczyzna,13,1162.41,0,105,48,dobry
400,'\'(43.2-55.8]\'',mężczyzna,12,1963.88,5,7,1,dobry
200,'\'(55.8-68.4]\'',mężczyzna,13,819,0,58,48,dobry
1000,'\'(30.6-43.2]\'',kobieta,11,1900,0,180,48,dobry
316.68,'\'(30.6-43.2]\'',mężczyzna,98,3178,0,202,48,dobry
200,'\'(55.8-68.4]\'',kobieta,99,780,2,2,1,dobry
200,'\'(43.2-55.8]\'',kobieta,99,1100,3,53,1,dobry
200,'\'(68.4-inf)\'',kobieta,13,634.64,0,252,48,dobry
600,'\'(30.6-43.2]\'',mężczyzna,12,1573,0,6,22,z?y
700,'\'(55.8-68.4]\'',kobieta,13,1400,1,247,48,dobry
300,'\'(-inf-30.6]\'',mężczyzna,12,1400,0,13,19,z?y
300,'\'(55.8-68.4]\'',kobieta,13,1087,0,72,48,dobry
700,'\'(30.6-43.2]\'',mężczyzna,11,2585,0,102,48,z?y
400,'\'(55.8-68.4]\'',kobieta,13,1507,0,60,48,dobry
400,'\'(30.6-43.2]\'',mężczyzna,12,1300,0,7,6,z?y
200,'\'(55.8-68.4]\'',kobieta,13,992.96,2,13,48,dobry
300,'\'(43.2-55.8]\'',kobieta,11,1077.49,0,373,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,984,1,12,48,dobry
200,'\'(-inf-30.6]\'',kobieta,16,540.62,0,8,48,z?y
700,'\'(30.6-43.2]\'',mężczyzna,16,660,0,132,48,z?y
300,'\'(43.2-55.8]\'',kobieta,11,992.84,6,122,48,dobry
400,'\'(30.6-43.2]\'',mężczyzna,11,1058,1,15,48,dobry
393.48,'\'(55.8-68.4]\'',kobieta,13,1668,6,92,48,dobry
300,'\'(-inf-30.6]\'',mężczyzna,11,1000,6,58,48,dobry
500,'\'(55.8-68.4]\'',mężczyzna,11,2100,5,188,48,dobry
300,'\'(-inf-30.6]\'',mężczyzna,11,1459,3,10,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,865,6,129,48,dobry
200,'\'(43.2-55.8]\'',kobieta,12,1000,1,46,23,dobry
300,'\'(43.2-55.8]\'',mężczyzna,11,1400,0,15,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,1026,5,56,48,dobry
700,'\'(55.8-68.4]\'',kobieta,13,1872,6,36,48,dobry
300,'\'(43.2-55.8]\'',kobieta,98,911,6,99,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,714,0,223,48,dobry
240,'\'(55.8-68.4]\'',kobieta,16,634.64,5,137,48,dobry
300,'\'(43.2-55.8]\'',kobieta,12,1038.68,2,22,4,dobry
500,'\'(30.6-43.2]\'',kobieta,11,1920.35,0,98,48,z?y
500,'\'(68.4-inf)\'',mężczyzna,13,1032,0,120,48,z?y
500,'\'(55.8-68.4]\'',mężczyzna,13,1530,0,36,48,dobry
300,'\'(43.2-55.8]\'',kobieta,16,1103.04,0,175,48,z?y
600,'\'(68.4-inf)\'',mężczyzna,13,2547,0,196,48,dobry
300,'\'(-inf-30.6]\'',kobieta,12,1500,5,5,1,dobry
500,'\'(30.6-43.2]\'',kobieta,11,2400,5,114,48,dobry
249.3,'\'(55.8-68.4]\'',kobieta,16,2100,1,40,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1536,1,37,48,dobry
300,'\'(30.6-43.2]\'',mężczyzna,13,1046.34,0,169,48,z?y
200,'\'(30.6-43.2]\'',kobieta,99,2290.55,3,19,1,dobry
500,'\'(30.6-43.2]\'',mężczyzna,11,2180.09,0,51,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,1431,0,248,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1167.94,1,370,48,dobry
300,'\'(55.8-68.4]\'',mężczyzna,13,1534.86,0,58,48,z?y
300,'\'(55.8-68.4]\'',kobieta,16,735.11,0,72,48,z?y
327,'\'(43.2-55.8]\'',kobieta,11,2065.98,0,180,48,dobry
200,'\'(55.8-68.4]\'',mężczyzna,13,929.58,0,8,48,z?y
299.23,'\'(43.2-55.8]\'',kobieta,11,1400,2,162,48,dobry
200,'\'(43.2-55.8]\'',mężczyzna,16,1045,5,200,48,dobry
500,'\'(68.4-inf)\'',kobieta,16,1401,0,76,48,dobry
400,'\'(30.6-43.2]\'',mężczyzna,11,1300,0,46,48,dobry
200,'\'(-inf-30.6]\'',mężczyzna,99,1500,0,4,2,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1100,3,106,48,dobry
300,'\'(55.8-68.4]\'',mężczyzna,15,1100.79,1,91,48,dobry
300,'\'(68.4-inf)\'',mężczyzna,13,1426,6,78,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,11,1360,2,121,48,dobry
500,'\'(43.2-55.8]\'',kobieta,17,990,2,73,12,dobry
500,'\'(43.2-55.8]\'',mężczyzna,11,2080,0,319,48,dobry
300,'\'(30.6-43.2]\'',kobieta,12,1050,0,6,1,z?y
244.61,'\'(55.8-68.4]\'',kobieta,13,1525.46,1,37,48,dobry
558.03,'\'(55.8-68.4]\'',kobieta,13,3700,6,28,48,dobry
200,'\'(55.8-68.4]\'',kobieta,98,980,5,11,48,dobry
200,'\'(-inf-30.6]\'',mężczyzna,12,1100,1,34,25,dobry
200,'\'(43.2-55.8]\'',kobieta,12,984.34,5,19,1,dobry
300,'\'(-inf-30.6]\'',mężczyzna,11,1625,0,24,48,dobry
500,'\'(30.6-43.2]\'',mężczyzna,12,2260,0,3,1,z?y
281.61,'\'(43.2-55.8]\'',mężczyzna,11,2100,3,39,48,dobry
500,'\'(-inf-30.6]\'',mężczyzna,11,2327.94,2,36,48,dobry
400,'\'(55.8-68.4]\'',mężczyzna,16,1473.04,3,167,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,802.83,0,203,48,dobry
200,'\'(43.2-55.8]\'',kobieta,16,749.28,6,67,48,dobry
250,'\'(-inf-30.6]\'',mężczyzna,12,1500,0,8,0,dobry
400,'\'(55.8-68.4]\'',mężczyzna,13,1339.62,0,143,48,z?y
200,'\'(30.6-43.2]\'',kobieta,12,980,6,12,3,dobry
200,'\'(30.6-43.2]\'',kobieta,11,2505,0,166,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1500,2,62,48,dobry
800,'\'(55.8-68.4]\'',kobieta,13,2120,1,121,48,dobry
500,'\'(30.6-43.2]\'',kobieta,11,1870,0,112,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,1233,5,125,48,dobry
477.41,'\'(55.8-68.4]\'',mężczyzna,11,1250,1,67,48,dobry
299.28,'\'(68.4-inf)\'',kobieta,16,1235,1,35,48,dobry
200,'\'(68.4-inf)\'',mężczyzna,13,1642.87,0,71,48,dobry
200,'\'(55.8-68.4]\'',kobieta,16,634,5,53,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,1310,2,80,48,dobry
500,'\'(68.4-inf)\'',mężczyzna,13,1150,0,140,48,dobry
281.84,'\'(43.2-55.8]\'',kobieta,12,1032,6,40,0,dobry
200,'\'(55.8-68.4]\'',mężczyzna,13,1287.66,5,98,48,dobry
450,'\'(55.8-68.4]\'',kobieta,13,1019,0,135,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,803.86,6,160,48,dobry
530,'\'(55.8-68.4]\'',kobieta,13,1691.3,2,75,48,dobry
200,'\'(30.6-43.2]\'',kobieta,11,1000,1,63,48,dobry
500,'\'(43.2-55.8]\'',kobieta,16,2300,7,65,48,dobry
400,'\'(43.2-55.8]\'',kobieta,12,1000,6,34,0,dobry
400,'\'(55.8-68.4]\'',mężczyzna,12,1000,6,14,0,dobry
