@relation 272644L1_2-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute 'rodzaj źródła dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres dochód (months)' numeric
@attribute 'okres będzie dochód (months)' numeric
@attribute 'opóźnienie spłaty (dni)' numeric

@data
300,70,kobieta,13,1000,3,66,48,2
200,43,mężczyzna,11,2284.23,1,302,48,3
299.72,62,kobieta,13,714,7,224,48,0
400,58,kobieta,11,1500,5,87,48,2
200,45,kobieta,11,1344.9,5,48,48,7
500,49,kobieta,11,2500,2,235,48,2
200,31,kobieta,12,1865,3,22,0,2
300,71,mężczyzna,13,562,2,83,48,3
324.56,61,kobieta,13,1170,5,80,48,0
350,61,mężczyzna,16,837,5,233,48,4
460,65,kobieta,13,1013.74,6,115,48,2
500,60,kobieta,13,1212,6,56,48,2
200,31,mężczyzna,98,2000,0,16,48,0
200,60,kobieta,16,684.64,0,343,48,2
300,43,kobieta,11,1738.57,1,59,48,0
600,78,mężczyzna,13,1519,0,256,48,5233
292.28,60,kobieta,13,936,4,33,48,244
399.72,54,kobieta,11,2368.57,0,412,48,12
200,65,kobieta,13,670,2,68,48,5231
600,65,kobieta,16,892,0,203,48,0
700,68,kobieta,16,980,0,133,48,7
300,68,kobieta,13,1027,2,194,48,0
600,72,kobieta,13,640,0,141,48,0
400,62,kobieta,16,2084.79,0,143,48,0
315.12,73,mężczyzna,13,960,6,142,48,1
667.77,63,kobieta,13,930,3,96,48,0
299.28,63,kobieta,16,1389,1,93,48,1
400,64,kobieta,13,840,4,115,48,2
265.58,62,kobieta,13,1189,6,72,48,1
200,67,kobieta,13,720.19,4,95,48,0
400,63,kobieta,13,917,0,78,48,7
500,63,kobieta,13,3251,0,140,48,0
300,40,kobieta,12,1896,0,15,1,1
900,58,kobieta,17,684,6,192,17,1
575.64,52,mężczyzna,11,3200,6,191,48,0
400,59,mężczyzna,11,2000,1,72,48,8
200,61,kobieta,13,975,6,29,48,1
200,55,mężczyzna,11,1460.17,3,63,48,1
400,70,kobieta,13,729.03,7,259,48,0
500,53,mężczyzna,11,1320,6,344,48,2
235.97,65,mężczyzna,12,1100,6,24,12,8
200,61,kobieta,13,997,6,81,48,1
400,41,mężczyzna,11,1800,0,107,48,213
282.28,48,mężczyzna,11,1600,0,344,48,3
300,39,kobieta,12,1027,6,11,48,1
500,47,mężczyzna,12,600,7,11,16,1
200,37,kobieta,12,599.03,5,21,0,9
289.72,54,kobieta,16,1045.6,7,14,48,1
400,66,kobieta,13,1137.19,6,98,48,1
430,38,mężczyzna,11,2470,3,68,48,5
300,66,mężczyzna,13,2110,0,103,48,5
300,54,kobieta,17,864.6,0,4,3,0
400,53,kobieta,13,1213,1,52,48,14
200,57,kobieta,11,983.97,0,80,48,5229
550,54,kobieta,12,1675,6,11,0,1
500,77,mężczyzna,13,2609,0,193,48,0
400,60,kobieta,13,1425,0,81,48,0
465.37,35,kobieta,98,4000,6,21,48,2
530,32,mężczyzna,11,2050,1,120,48,5
300,33,mężczyzna,11,1800,6,167,48,0
400,54,kobieta,12,1000,0,47,22,1
292.28,58,kobieta,13,1244.77,0,41,48,294
600,55,kobieta,12,1350,0,24,0,1
200,31,mężczyzna,11,2000,0,7,48,0
248.57,65,mężczyzna,13,1559,1,73,48,1
600,72,kobieta,13,2534,0,129,48,0
200,72,kobieta,13,730,5,563,48,1
500,52,mężczyzna,11,2011,0,213,48,7
693.7,38,kobieta,11,1900,2,210,48,5
400,34,kobieta,11,980.11,3,47,48,0
300,52,mężczyzna,12,1210,0,9,0,5227
282.68,52,kobieta,12,1050,5,36,0,0
200,52,kobieta,99,598,0,5,1,0
300,43,kobieta,11,1400,0,27,48,0
470,69,kobieta,13,1800,1,119,48,14
400,57,mężczyzna,12,1650,0,3,23,5227
300,49,mężczyzna,13,3900,7,32,48,0
500,50,mężczyzna,11,2400,0,254,48,0
400,53,mężczyzna,11,4000,7,12,48,4
300,73,kobieta,13,1412,0,206,48,0
200,56,kobieta,11,1172.2,6,39,48,3
300,71,mężczyzna,13,1295.37,2,309,48,0
300,35,kobieta,12,1200,6,11,3,0
200,72,mężczyzna,13,1700,1,16,48,14
500,72,mężczyzna,13,1700,6,16,48,8
437.15,61,kobieta,13,1362,6,58,48,3
537.15,62,kobieta,13,962,2,67,48,3
242.28,65,kobieta,13,1350,5,113,48,0
300,70,kobieta,13,729.03,0,259,48,0
500,47,mężczyzna,13,864.34,1,158,48,2
200,69,kobieta,16,959.6,6,117,48,0
401.3,47,mężczyzna,12,1574.45,0,33,2,10
600,49,kobieta,11,2800,6,321,48,10
400,56,mężczyzna,11,1842.86,5,10,48,3
879.43,35,mężczyzna,12,1500,3,35,0,14
326.78,40,mężczyzna,11,1261.98,6,38,48,10
700,48,kobieta,98,1357,0,3,48,5226
200,20,mężczyzna,17,985,7,15,2,3
300,57,kobieta,13,611,5,141,48,0
500,75,kobieta,13,1248,0,252,48,0
500,60,kobieta,13,1000,6,70,48,0
300,50,mężczyzna,12,1000,4,45,17,0
202.28,60,mężczyzna,11,3000,7,214,48,0
292.28,78,kobieta,13,1239.98,4,257,48,0
400,54,mężczyzna,11,1300,0,36,48,4
423.23,31,mężczyzna,11,2700,6,17,48,14
600,43,kobieta,11,1443,1,36,48,1
400,54,kobieta,12,1700,7,57,0,0
200,57,mężczyzna,11,1800,0,163,48,0
204.78,29,mężczyzna,11,1888.27,1,79,48,8
200,75,kobieta,13,616,6,248,48,1
600,45,mężczyzna,12,3500,1,189,27,2
600,61,kobieta,13,1050,7,141,48,0
200,71,kobieta,13,722.05,6,199,48,1
800,57,mężczyzna,12,2500,5,7,3,1
600,32,kobieta,11,1290,6,21,48,6
360.31,38,kobieta,11,2927,5,203,48,2
300,66,kobieta,13,1428.55,0,139,48,0
300,29,mężczyzna,11,1590,1,55,48,7
700,47,kobieta,12,830.46,5,47,24,0
563.44,68,mężczyzna,13,2000,1,47,48,285
300,79,kobieta,13,1442.43,2,143,48,0
200,72,kobieta,13,785,3,66,48,0
200,27,mężczyzna,12,1400,1,3,1,0
500,58,mężczyzna,16,1770,7,91,48,0
400,72,mężczyzna,13,1870,2,87,48,2
400,59,kobieta,12,1320,0,11,24,2
300,36,kobieta,11,1228,0,36,48,4
500,70,kobieta,13,1200,6,121,48,7
200,70,kobieta,13,1200,0,121,48,7
400,51,mężczyzna,11,1800,3,261,48,0
200,26,kobieta,12,1100,3,17,0,4
300,26,kobieta,11,2300,0,24,48,0
300,53,mężczyzna,11,1300,0,454,48,0
290.88,61,kobieta,13,1090.14,6,77,48,5
830,61,kobieta,13,1977,4,57,48,5221
500,47,mężczyzna,13,1500,1,88,48,6
300,75,kobieta,13,1000,0,213,48,0
600,54,kobieta,11,1300,1,70,48,13
300,63,kobieta,13,1014,1,185,48,6
200,31,kobieta,12,1032.34,6,7,4,5220
437.15,62,kobieta,13,820,1,33,48,0
400,21,mężczyzna,99,1500,0,5,2,0
600,53,kobieta,11,1700,0,207,48,0
200,46,mężczyzna,99,1400,0,18,1,0
345.97,54,kobieta,11,1721.7,7,122,48,0
400,49,kobieta,11,1764,0,66,48,0
314.15,35,kobieta,11,2709.34,7,183,48,0
200,61,kobieta,13,992.96,3,14,48,0
350,73,kobieta,11,1348.95,1,116,48,10
400,44,mężczyzna,11,3300,0,239,48,2
300,52,kobieta,16,685,0,43,48,298
300,60,kobieta,13,810,7,35,48,0
300,37,kobieta,12,1382,0,23,0,0
300,57,kobieta,11,1680,6,387,48,4
350,58,kobieta,13,1500,0,48,48,4
500,58,kobieta,13,1240,3,72,48,0
300,25,kobieta,11,1600,0,54,48,243
300,21,mężczyzna,12,952.89,2,25,1,5
290,61,kobieta,13,1280,7,19,48,0
300,65,kobieta,13,1400,0,120,48,4
200,65,mężczyzna,13,1611,1,143,48,0
297.28,48,kobieta,11,1077.49,1,374,48,2
450,59,mężczyzna,13,3900,0,116,48,3
400,60,kobieta,13,1800,1,71,48,0
250,21,mężczyzna,12,1500,1,8,3,0
800,61,kobieta,13,5100,2,30,48,0
600,41,kobieta,98,5000,2,86,48,14
500,59,kobieta,13,1300,0,32,48,0
500,45,kobieta,11,3000,1,95,48,0
400,58,kobieta,13,1300,0,36,48,0
500,51,kobieta,11,1700,6,308,48,2
400,66,kobieta,13,850,6,69,48,2
392.82,51,mężczyzna,11,1400,1,41,48,2
200,61,kobieta,13,984,2,13,48,2
200,75,kobieta,13,965,6,247,48,8
300,45,mężczyzna,11,2100,2,52,48,0
400,75,kobieta,13,1900,3,123,48,1
389.72,52,kobieta,98,3000,3,87,48,1
200,53,mężczyzna,11,2094.17,3,243,48,4
478.6,44,kobieta,11,2245.01,1,148,48,1
400,35,mężczyzna,11,1186,0,12,48,0
200,61,kobieta,13,744.07,0,15,48,0
339.72,68,mężczyzna,13,1162.41,1,106,48,0
300,64,kobieta,16,1132,3,99,48,5214
830,59,kobieta,13,1400,2,248,48,0
500,56,mężczyzna,13,1900,7,152,48,0
200,27,mężczyzna,17,728,7,102,28,1
330.1,63,kobieta,13,1668,7,93,48,1
389.72,35,mężczyzna,11,1058,2,16,48,0
500,60,mężczyzna,11,2100,6,189,48,0
500,56,mężczyzna,13,1553,0,111,48,1
200,57,mężczyzna,13,12220,5,73,48,0
500,49,mężczyzna,11,2500,1,376,48,0
200,53,kobieta,99,1100,4,54,1,0
500,49,kobieta,11,1800,7,55,48,2
400,23,mężczyzna,98,1200,0,18,48,11
515.96,58,kobieta,13,1801.41,2,40,48,0
200,70,kobieta,13,865,7,130,48,0
700,32,kobieta,11,3100,2,123,48,5
700,37,kobieta,11,3178.76,2,123,48,5
400,59,kobieta,13,1400,0,48,48,4
300,30,mężczyzna,12,3400,0,19,19,0
378.91,70,kobieta,13,1291.18,7,81,48,0
300,62,mężczyzna,13,2000,0,36,48,0
500,36,mężczyzna,11,3898,2,183,48,3
600,80,mężczyzna,13,2547,1,197,48,0
300,22,kobieta,12,1500,6,6,12,3
299.23,52,kobieta,11,1400,3,163,48,0
500,55,kobieta,12,1600,0,12,5,4
500,29,kobieta,12,1447,7,24,12,3
349.66,64,mężczyzna,13,1601.87,3,47,48,3
300,53,kobieta,16,1740,0,116,48,0
206,30,mężczyzna,12,1521,3,22,8,0
300,49,kobieta,11,992.84,7,123,48,0
300,79,kobieta,13,1167.94,2,371,48,0
200,54,kobieta,11,1400,7,119,48,2
300,46,mężczyzna,11,1360,3,122,48,0
700,58,kobieta,13,1872,7,37,48,5
527.15,73,kobieta,13,951,6,164,48,58
773.72,63,kobieta,13,860,1,82,48,0
300,74,kobieta,13,1536,2,38,48,3
200,53,kobieta,16,749.28,7,67,48,1
387.15,69,kobieta,16,1401,1,77,48,119
400,65,mężczyzna,16,1473.04,4,167,48,1
200,56,kobieta,98,980,6,12,48,0
300,46,kobieta,12,1038.68,3,23,3,1
300,71,mężczyzna,13,1426,7,79,48,1
342.86,60,kobieta,13,1087,1,73,48,4
200,57,kobieta,99,780,3,3,1,1
750,55,mężczyzna,16,588,0,424,48,11
300,61,kobieta,13,1374,0,48,48,0
249.3,57,kobieta,16,2100,2,41,48,1
500,50,kobieta,17,990,3,74,11,1
500,53,mężczyzna,11,2080,1,320,48,0
300,46,kobieta,98,911,7,100,48,1
472.7,62,kobieta,13,3700,7,29,48,1
200,53,kobieta,12,984.34,6,20,0,5210
400,60,mężczyzna,12,1000,7,14,12,4
400,50,kobieta,12,1000,7,34,0,4
300,63,kobieta,13,1100,4,107,48,1
400,58,kobieta,16,1589,0,29,48,3
300,65,kobieta,13,802.83,1,203,48,1
600,64,kobieta,13,1233,0,126,48,0
300,75,mężczyzna,13,1180,0,143,48,0
200,71,mężczyzna,13,1642.87,1,72,48,1
200,41,kobieta,11,2505,1,167,48,0
200,59,kobieta,16,634,6,54,48,0
215.24,51,mężczyzna,16,1045,6,202,48,0
400,61,kobieta,13,1500,3,63,48,0
397.15,56,kobieta,16,2300,8,66,48,2
200,56,kobieta,16,2300,1,66,48,2
497.15,51,mężczyzna,16,2150,1,84,48,1
741.52,34,kobieta,11,2200,3,40,48,0
200,32,kobieta,12,980,7,13,2,9
600,36,kobieta,11,2400,6,116,48,8
500,63,kobieta,13,1900,1,91,48,4
300,63,kobieta,13,714,0,225,48,0
254.98,58,kobieta,16,634.64,6,139,48,8
300,56,kobieta,11,2800,2,12,48,0
300,57,kobieta,11,1187.06,0,136,48,0
500,43,mężczyzna,98,3014,0,105,48,4
200,69,kobieta,13,803.86,7,161,48,0
200,63,mężczyzna,13,1162,7,224,48,0
252.16,60,kobieta,13,1658,7,32,48,0
800,66,mężczyzna,13,3040,0,204,48,1
400,61,kobieta,13,1107,1,18,48,3
800,56,kobieta,13,3440,7,54,48,0
200,47,kobieta,12,990.34,0,59,13,0
391.97,65,kobieta,13,1507,1,62,48,0
200,61,kobieta,13,1635,7,123,48,3
392.43,45,mężczyzna,12,1963.88,6,9,11,0
250,31,mężczyzna,12,1637,0,55,48,4
276.26,55,mężczyzna,11,2100,4,41,48,0
800,69,kobieta,13,2120,2,122,48,0
300,55,kobieta,16,1500,2,5,48,6
500,44,kobieta,11,1738.57,0,60,48,2
250,60,kobieta,13,1650,1,118,48,0
299.72,63,kobieta,13,714,8,225,48,4
438.67,51,kobieta,11,1577.42,0,208,48,2
500,45,mężczyzna,12,1952.35,0,7,4,3
200,45,mężczyzna,11,2000,0,204,48,0
400,63,kobieta,16,2084.79,1,144,48,2
500,28,kobieta,11,2100,0,26,48,0
530,63,kobieta,13,1691.3,3,76,48,1
400,69,kobieta,13,1017,0,164,48,0
600,40,kobieta,11,1800,0,55,48,9
278.98,39,kobieta,98,1200,7,49,48,0
350,71,kobieta,13,729.03,8,260,48,1
300,69,kobieta,13,1027,3,195,48,0
300,71,kobieta,13,1000,4,67,48,0
300,64,mężczyzna,11,1660,0,53,48,0
300,27,mężczyzna,11,1459,4,12,48,8
500,64,kobieta,13,3251,1,141,48,3
664.48,64,kobieta,13,930,4,97,48,2
460,66,kobieta,13,1013.74,7,116,48,0
200,68,kobieta,13,720.19,5,96,48,2
500,61,kobieta,13,1212,7,57,48,0
200,32,kobieta,12,1865,4,23,11,1
400,71,kobieta,13,1016,0,192,48,0
400,59,kobieta,11,1500,6,88,48,2
600,73,kobieta,13,640,1,142,48,1
584.58,66,kobieta,16,892,1,204,48,0
367.31,62,kobieta,13,1684,6,23,48,5201
400,61,kobieta,16,1411,4,69,48,3
400,57,kobieta,11,1730.13,0,196,48,12
900,59,kobieta,17,684,7,193,16,0
200,62,kobieta,13,997,7,82,48,0
200,62,kobieta,13,975,7,30,48,8
315.12,74,mężczyzna,13,960,7,143,48,1
200,34,mężczyzna,11,1800,7,168,48,1
300,43,kobieta,11,1286.16,0,120,48,4
299.23,64,kobieta,16,1389,2,94,48,1
500,42,kobieta,11,1870,0,113,48,0
700,62,kobieta,13,2066,7,132,48,1
265.58,63,kobieta,13,1189,7,73,48,1
300,72,mężczyzna,13,562,3,84,48,1
237.13,55,kobieta,16,1045.6,8,15,48,1
200,56,mężczyzna,11,1460.17,4,64,48,1
281.84,47,kobieta,12,1032,7,41,11,12
300,41,kobieta,12,1896,1,16,0,5
300,40,kobieta,12,1027,7,12,48,4
200,44,mężczyzna,11,2284.23,2,303,48,1
325.58,53,kobieta,11,2065.98,0,182,48,5
286.26,50,mężczyzna,11,1400,0,17,48,203
497.15,48,mężczyzna,12,600,8,12,15,1
300,55,kobieta,17,864.6,1,5,2,14
700,68,kobieta,13,1431,0,250,48,7
684.58,73,kobieta,13,2534,1,130,48,0
500,62,mężczyzna,16,837,0,234,48,0
300,71,mężczyzna,13,1420,1,56,48,0
500,32,mężczyzna,11,2180.09,0,53,48,278
500,54,mężczyzna,11,1320,7,345,48,0
300,47,kobieta,11,900,7,96,48,4
330.11,65,kobieta,13,840,5,116,48,5
300,36,kobieta,12,1200,7,12,2,3
500,36,mężczyzna,11,1186,0,13,48,35
200,32,mężczyzna,11,2000,1,8,48,0
200,64,mężczyzna,13,1287.66,6,99,48,5
400,47,mężczyzna,99,1400,0,19,0,0
600,56,kobieta,12,1350,1,25,0,17
476.83,62,mężczyzna,11,1250,0,68,48,14
388.49,36,mężczyzna,11,1850,2,58,48,5198
200,43,mężczyzna,12,1500,0,38,35,269
200,70,kobieta,16,959.6,7,118,48,0
400,35,kobieta,11,980.11,4,48,48,241
389.72,55,kobieta,12,1000,1,48,21,2
550,55,kobieta,12,1675,7,12,0,3
282.28,49,mężczyzna,11,1600,1,345,48,3
450,69,kobieta,13,1019,0,136,48,6
500,51,mężczyzna,11,2400,1,255,48,5198
200,42,kobieta,11,1000,0,64,48,11
200,73,kobieta,13,730,6,564,48,0
246.46,66,mężczyzna,13,1559,2,74,48,0
300,44,kobieta,11,1400,1,28,48,0
230.9,79,kobieta,13,1239.98,5,258,48,0
437.15,63,kobieta,13,820,2,34,48,0
300,50,mężczyzna,13,3900,8,33,48,1
276.75,53,kobieta,11,1050,6,37,48,0
600,73,mężczyzna,13,2612,0,85,48,0
207.19,66,kobieta,13,1350,6,114,48,1
300,74,kobieta,13,1412,1,207,48,0
441.54,36,kobieta,98,4000,7,22,48,3
247.28,58,kobieta,13,611,6,142,48,1
300,71,kobieta,13,729.03,1,260,48,1
200,46,kobieta,11,1344.9,6,49,48,5196
202.28,61,mężczyzna,11,3000,8,215,48,1
500,76,kobieta,13,1248,1,253,48,1
500,61,kobieta,13,1000,7,71,48,1
400,64,kobieta,13,917,1,79,48,0
500,48,mężczyzna,13,864.34,2,159,48,0
700,69,kobieta,16,980,1,134,48,6
300,51,mężczyzna,12,1000,5,46,16,0
300,63,mężczyzna,15,1100.79,0,93,48,0
200,22,kobieta,12,700,0,3,2,0
430,39,mężczyzna,11,2470,4,69,48,2
300,67,mężczyzna,13,2110,1,104,48,7
200,57,kobieta,11,1172.2,7,40,48,5
350,55,kobieta,12,1700,8,58,11,0
200,58,mężczyzna,11,1800,1,164,48,2
523.43,33,mężczyzna,11,2050,2,121,48,1
624.85,52,kobieta,11,3200,7,57,48,5
537.15,63,kobieta,13,962,3,68,48,0
437.15,62,kobieta,13,1362,7,59,48,5
600,44,kobieta,11,1443,2,37,48,1
200,21,mężczyzna,17,985,8,16,1,11
235.97,66,mężczyzna,12,1100,7,25,11,0
200,76,kobieta,13,616,7,249,48,1
300,57,kobieta,11,1800,0,115,48,0
400,57,mężczyzna,11,1842.86,6,11,48,1
693.7,39,kobieta,11,1900,3,211,48,13
700,57,mężczyzna,98,2500,0,228,48,0
400,54,mężczyzna,11,4000,8,13,48,1
300,60,mężczyzna,11,2000,2,73,48,0
200,38,kobieta,12,599.03,0,22,0,11
399.22,40,kobieta,11,1239.05,0,207,48,7
600,46,mężczyzna,12,3500,2,190,26,0
600,62,kobieta,13,1050,8,142,48,3
400,52,mężczyzna,11,1800,4,262,48,12
200,27,mężczyzna,12,1100,0,36,23,10
300,27,kobieta,11,2300,0,25,48,0
400,55,kobieta,11,1500,0,113,48,0
200,73,kobieta,13,785,4,67,48,2
396.55,55,kobieta,11,2368.57,0,413,48,0
200,28,mężczyzna,12,1400,2,4,2,0
300,61,kobieta,13,810,8,36,48,0
300,38,kobieta,12,1382,1,24,11,0
500,53,mężczyzna,11,2011,1,214,48,4
700,48,kobieta,12,830.46,6,48,23,4
300,76,kobieta,13,1000,1,214,48,279
500,59,mężczyzna,16,1770,8,92,48,2
505,62,mężczyzna,13,1500,0,26,48,16
500,55,kobieta,12,2200,0,6,5,0
550,63,kobieta,13,1474.55,0,68,48,2
300,26,mężczyzna,11,1600,0,6,48,3
800,58,mężczyzna,12,2500,6,8,2,3
292.28,67,kobieta,13,1428.55,1,140,48,4
200,72,kobieta,13,722.05,7,200,48,230
700,60,mężczyzna,11,2800,0,99,48,0
400,55,mężczyzna,11,1300,1,37,48,5189
290,62,kobieta,13,1280,8,20,48,0
351.55,39,kobieta,11,2927,6,204,48,1
313.15,36,kobieta,11,2709.34,8,184,48,0
200,62,kobieta,13,992.96,4,15,48,0
400,50,kobieta,11,1764,1,67,48,0
345.97,55,kobieta,11,1721.7,8,123,48,2
390.11,60,kobieta,12,1320,1,12,23,1
300,78,kobieta,13,1239,0,273,48,5
200,61,kobieta,13,1800,2,72,48,0
400,73,mężczyzna,13,1870,3,88,48,226
300,32,mężczyzna,11,2725,0,56,48,1
300,31,mężczyzna,12,1700,0,0,48,0
500,73,mężczyzna,13,1700,7,17,48,5189
300,59,kobieta,13,1240,0,73,48,0
500,57,mężczyzna,13,1900,8,153,48,2
500,75,kobieta,13,1373,0,113,48,0
292.28,63,mężczyzna,13,2000,1,37,48,0
400,45,mężczyzna,11,3300,1,240,48,0
295.57,49,kobieta,11,1077.49,2,375,48,1
400,68,kobieta,13,1094,0,187,48,0
300,41,kobieta,11,1100,0,60,48,16
487.15,50,mężczyzna,11,2500,2,377,48,1
200,27,kobieta,12,1100,4,18,11,2
600,72,kobieta,13,1667,0,159,48,0
500,46,kobieta,11,3000,2,96,48,7
250,46,mężczyzna,11,2100,3,53,48,0
500,59,kobieta,13,1883.53,0,50,48,0
600,63,mężczyzna,13,2474,0,18,48,0
800,62,kobieta,13,5100,3,31,48,0
337.15,60,kobieta,13,1300,1,33,48,0
300,57,mężczyzna,11,1170,0,70,48,0
359.6,41,mężczyzna,11,1261.98,0,39,48,0
600,50,kobieta,11,2800,0,322,48,8
600,33,kobieta,11,1331.21,7,22,48,1
206,31,mężczyzna,12,1521,4,23,7,1
600,54,kobieta,16,1362,0,32,48,0
300,54,kobieta,16,1740,1,117,48,2
389.72,53,kobieta,98,3000,4,88,48,1
400,76,kobieta,13,1900,4,124,48,1
203.42,30,mężczyzna,11,1888.27,2,80,48,6
300,38,kobieta,12,2000,0,92,48,0
290.88,62,kobieta,13,1090.14,7,78,48,1
455.59,45,kobieta,11,2245.01,2,149,48,6
550,60,mężczyzna,13,3900,0,117,48,0
500,52,kobieta,11,1700,7,309,48,4
200,54,kobieta,99,1100,5,55,0,0
400,61,kobieta,13,1425,0,82,48,0
300,58,kobieta,11,1680,7,388,48,4
200,62,kobieta,13,984,3,14,48,0
300,66,kobieta,13,1400,1,121,48,1
500,76,mężczyzna,13,1150,0,141,48,1
300,54,mężczyzna,11,981,0,23,48,0
378.53,45,mężczyzna,12,1963.88,7,9,11,5185
308.63,71,kobieta,13,1291.18,8,82,48,4
400,67,kobieta,13,850,7,70,48,4
200,71,kobieta,13,865,8,131,48,1
200,75,mężczyzna,13,860,0,120,48,5185
389.52,52,mężczyzna,11,1400,2,42,48,5185
239.72,69,mężczyzna,13,1162.41,2,107,48,0
384.56,36,mężczyzna,11,1058,3,17,48,2
300,62,kobieta,13,1374,1,49,48,6
300,30,mężczyzna,11,1590,2,56,48,0
489.57,48,mężczyzna,13,1500,2,89,48,0
500,61,mężczyzna,11,2100,7,190,48,5184
200,62,kobieta,13,744.07,1,16,48,10
560.68,59,kobieta,13,1801.41,3,41,48,9
300,64,kobieta,13,1014,2,186,48,9
830,60,kobieta,13,1400,3,249,48,6
200,54,mężczyzna,11,1300,0,455,48,0
300,22,mężczyzna,12,952.89,3,26,0,0
500,71,kobieta,13,1200,7,122,48,4
200,71,kobieta,13,1200,1,122,48,4
600,81,mężczyzna,13,2547,2,198,48,0
500,60,mężczyzna,11,2300,0,75,48,2
326.67,64,kobieta,13,1668,8,94,48,0
500,57,mężczyzna,13,1553,1,112,48,0
200,28,mężczyzna,17,728,8,103,27,0
400,64,mężczyzna,13,3900,0,37,48,0
200,60,kobieta,13,1000,0,60,48,9
200,73,mężczyzna,13,1700,0,17,48,5182
450,47,mężczyzna,11,2300,0,123,48,0
299.15,53,kobieta,11,1400,4,164,48,0
200,54,mężczyzna,11,2094.17,4,244,48,1
300,80,kobieta,13,1167.94,3,372,48,0
500,50,kobieta,11,1800,8,56,48,1
770.69,64,kobieta,13,860,2,83,48,3
200,66,mężczyzna,13,1611,0,144,48,0
500,37,mężczyzna,12,2000,0,36,35,0
200,55,kobieta,11,1400,8,120,48,0
200,57,kobieta,98,980,7,13,48,0
500,37,mężczyzna,11,3898,3,184,48,5
300,55,kobieta,12,1756,0,2,1,0
400,63,kobieta,13,1650,0,85,48,0
500,37,mężczyzna,11,2800,0,158,48,2
300,71,kobieta,13,1389,0,71,48,0
423.23,32,mężczyzna,11,2700,7,18,48,9
200,66,kobieta,13,974,0,204,48,0
400,46,mężczyzna,11,2600,0,5,48,0
300,23,kobieta,12,1500,7,7,11,0
500,54,mężczyzna,11,2080,2,321,48,2
200,54,kobieta,16,749.28,8,68,48,0
249.3,58,kobieta,16,2100,3,42,48,4
500,52,mężczyzna,13,4200,0,60,48,0
500,30,kobieta,12,1447,8,25,11,1
300,47,mężczyzna,11,1566.82,0,352,48,8
396.89,63,kobieta,13,3700,8,30,48,0
200,76,kobieta,13,965,7,248,48,0
200,75,kobieta,13,1536,3,39,48,0
300,72,mężczyzna,13,1426,8,80,48,0
300,31,mężczyzna,11,2700,0,67,48,15
700,38,kobieta,11,3178.76,3,124,48,4
700,33,kobieta,11,3100,3,124,48,4
200,52,mężczyzna,12,1100,0,8,6,1
738.6,56,kobieta,12,1600,1,13,4,19
300,66,kobieta,13,802.83,2,204,48,1
500,26,mężczyzna,12,1880,0,5,7,5179
300,47,kobieta,98,911,8,101,48,1
390.88,60,kobieta,13,1400,1,49,48,0
300,47,kobieta,12,1038.68,4,24,2,5179
200,58,kobieta,99,780,4,4,1,4
300,64,kobieta,13,1100,5,108,48,0
350,74,kobieta,11,1348.95,0,117,48,0
500,51,kobieta,17,990,4,75,10,1
349.66,65,mężczyzna,13,1601.87,4,48,48,5
400,66,mężczyzna,16,1473.04,5,168,48,0
257.27,55,mężczyzna,11,2100,5,41,48,4
600,64,kobieta,13,1233,1,127,48,0
215.24,51,mężczyzna,16,1045,7,203,48,3
200,59,kobieta,16,634,7,55,48,0
300,65,kobieta,13,1582.15,0,109,48,0
300,61,mężczyzna,16,1398,0,397,48,5
600,62,mężczyzna,16,837,0,235,48,0
400,61,kobieta,13,1500,4,64,48,10
693.16,34,kobieta,11,2200,4,41,48,0
200,41,kobieta,11,2505,2,168,48,0
400,26,kobieta,17,1200,0,169,11,1
200,71,mężczyzna,13,1642.87,2,73,48,0
600,51,mężczyzna,16,2150,0,85,48,3
300,63,kobieta,13,714,1,226,48,0
700,59,kobieta,13,1872,8,39,48,0
600,55,kobieta,11,1300,0,72,48,6
500,55,kobieta,12,2200,1,7,4,0
400,59,kobieta,16,1589,1,31,48,4
300,51,mężczyzna,12,3000,0,57,48,0
300,39,kobieta,16,1300,0,28,48,5177
300,56,kobieta,11,2800,3,13,48,0
200,57,kobieta,11,1187.06,1,137,48,4
500,24,mężczyzna,11,1800,0,13,48,4
391.97,65,kobieta,13,1507,2,63,48,0
800,56,kobieta,13,3440,8,55,48,0
342.86,61,kobieta,13,1087,2,75,48,98
200,63,mężczyzna,13,1162,8,225,48,0
380.9,56,kobieta,16,2300,9,67,48,0
200,47,kobieta,12,990.34,1,60,12,226
200,56,mężczyzna,11,1460.17,0,65,48,4
400,51,kobieta,12,1000,8,36,1,0
400,61,mężczyzna,12,1000,8,16,10,0
800,69,kobieta,13,2120,3,123,48,0
900,66,mężczyzna,13,3040,0,205,48,1
200,54,kobieta,12,1200,0,2,1,0
400,67,kobieta,13,1137.19,0,100,48,0
200,26,kobieta,11,1000,0,3,48,5173
300,69,kobieta,13,1027,4,196,48,1
400,61,kobieta,13,1107,2,19,48,0
400,24,mężczyzna,98,1200,0,20,48,5
200,61,kobieta,13,1635,8,124,48,0
438.67,51,kobieta,11,1577.42,1,209,48,20
624.58,42,kobieta,98,5000,3,88,48,6
