@relation 272644L1_2-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute 'rodzaj źródła dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres dochód (months)' numeric
@attribute 'okres będzie dochód (months)' numeric
@attribute 'opóźnienie spłaty (dni)' numeric

@data
200,56,kobieta,17,1100,3,27,6,2
400,52,kobieta,98,3000,1,85,48,0
700,37,kobieta,11,3178.76,0,121,48,0
700,32,kobieta,11,3100,0,121,48,0
400,75,kobieta,13,1900,1,121,48,1
600,43,kobieta,11,1443,5,34,48,0
200,30,mężczyzna,12,1521,1,20,10,0
400,59,kobieta,16,1090,0,77,48,294
500,56,mężczyzna,13,1900,5,150,48,0
200,27,mężczyzna,17,728,5,100,30,0
200,53,kobieta,12,984.34,4,18,2,6
300,66,mężczyzna,13,2110,5,101,48,1
500,49,kobieta,11,1800,5,53,48,0
300,67,mężczyzna,13,1573,0,89,48,12
200,53,kobieta,99,1100,2,52,1,1
349.66,64,mężczyzna,13,1601.87,1,45,48,1
300,57,kobieta,16,634.64,4,136,48,4
297.86,22,kobieta,12,1634,3,12,3,12
500,73,mężczyzna,13,2112,0,98,48,322
800,61,kobieta,13,5100,0,28,48,0
250,57,kobieta,16,2100,0,39,48,4
200,52,mężczyzna,12,1210,0,7,2,14
300,22,kobieta,12,1500,4,4,1,3
300,26,kobieta,12,1300,4,8,4,4
200,60,kobieta,13,1026,4,55,48,3
700,59,kobieta,13,1400,0,246,48,0
500,74,kobieta,13,1536,0,36,48,4
395.77,63,kobieta,13,1668,5,91,48,1
700,58,kobieta,13,1872,5,35,48,3
500,24,mężczyzna,11,2327.94,1,35,48,5
200,70,kobieta,13,865,5,128,48,1
500,35,kobieta,11,2400,4,113,48,3
300,49,kobieta,11,992.84,5,121,48,0
200,61,kobieta,13,992.96,1,12,48,0
300,30,mężczyzna,11,1000,5,57,48,0
300,54,kobieta,12,1000,0,45,24,0
300,46,kobieta,98,911,5,98,48,2
200,31,kobieta,12,1865,2,20,1,11
500,60,mężczyzna,11,2100,4,187,48,0
200,61,kobieta,13,984,0,11,48,0
200,57,kobieta,99,780,1,1,2,0
500,67,kobieta,13,815,0,144,48,7
400,35,mężczyzna,11,1058,0,14,48,0
300,58,kobieta,13,1244.77,5,39,48,14
416.61,52,mężczyzna,11,2011,0,211,48,0
300,46,kobieta,12,1038.68,1,21,5,0
650,78,mężczyzna,13,1519,0,254,48,0
200,53,kobieta,16,749.28,5,65,48,3
